date,equity
2019-09-23,10000.0
2019-09-24,10000.0
2019-09-25,10000.0
2019-09-26,10000.0
2019-09-27,10000.0
2019-09-30,10000.0
2019-10-01,10000.0
2019-10-02,10000.0
2019-10-03,10000.0
2019-10-04,10000.0
2019-10-07,10000.0
2019-10-08,10000.0
2019-10-09,10000.0
2019-10-10,10000.0
2019-10-11,10000.0
2019-10-14,10000.0
2019-10-15,10000.0
2019-10-16,10000.0
2019-10-17,10000.0
2019-10-18,10000.0
2019-10-21,10000.0
2019-10-22,10000.0
2019-10-23,10000.0
2019-10-24,10000.0
2019-10-25,10000.0
2019-10-28,10000.0
2019-10-29,10000.0
2019-10-30,10000.0
2019-10-31,10000.0
2019-11-01,10000.0
2019-11-04,10000.0
2019-11-05,10000.0
2019-11-06,10000.0
2019-11-07,10000.0
2019-11-08,10000.0
2019-11-11,10000.0
2019-11-12,10000.0
2019-11-13,10000.0
2019-11-14,10000.0
2019-11-15,10000.0
2019-11-18,10000.0
2019-11-19,10000.0
2019-11-20,10000.0
2019-11-21,10000.0
2019-11-22,10000.0
2019-11-25,10000.0
2019-11-26,10000.0
2019-11-27,10000.0
2019-11-29,10000.0
2019-12-02,10000.0
2019-12-03,10000.0
2019-12-04,10000.0
2019-12-05,10000.0
2019-12-06,10000.0
2019-12-09,10000.0
2019-12-10,10000.0
2019-12-11,10000.0
2019-12-12,10000.0
2019-12-13,10000.0
2019-12-16,10000.0
2019-12-17,10000.0
2019-12-18,10000.0
2019-12-19,10000.0
2019-12-20,10000.0
2019-12-23,10000.0
2019-12-24,10000.0
2019-12-26,10000.0
2019-12-27,10000.0
2019-12-30,10000.0
2019-12-31,10000.0
2020-01-02,10000.0
2020-01-03,10000.0
2020-01-06,10000.0
2020-01-07,10000.0
2020-01-08,10000.0
2020-01-09,10000.0
2020-01-10,10000.0
2020-01-13,10000.0
2020-01-14,10000.0
2020-01-15,10000.0
2020-01-16,10000.0
2020-01-17,10000.0
2020-01-21,10000.0
2020-01-22,10000.0
2020-01-23,10000.0
2020-01-24,9969.4
2020-01-27,9901.9
2020-01-28,9943.75
2020-01-29,9940.15
2020-01-30,9929.8
2020-01-31,9884.8
2020-02-03,9884.8
2020-02-04,9913.6
2020-02-05,9939.699999999999
2020-02-06,9950.05
2020-02-07,9929.8
2020-02-10,9925.3
2020-02-11,9952.3
2020-02-12,9972.55
2020-02-13,9969.4
2020-02-14,9941.5
2020-02-18,9910.0
2020-02-19,9932.05
2020-02-20,9902.8
2020-02-21,9876.25
2020-02-24,9876.25
2020-02-25,9876.25
2020-02-26,9876.25
2020-02-27,9876.25
2020-02-28,9876.25
2020-03-02,9876.25
2020-03-03,9876.25
2020-03-04,9876.25
2020-03-05,9876.25
2020-03-06,9876.25
2020-03-09,9840.730000000001
2020-03-10,9873.29
2020-03-11,9807.060000000001
2020-03-12,9682.0
2020-03-13,9682.0
2020-03-16,9682.0
2020-03-17,9682.0
2020-03-18,9703.599999999999
2020-03-19,9666.16
2020-03-20,9600.279999999999
2020-03-23,9603.88
2020-03-24,9612.88
2020-03-25,9545.56
2020-03-26,9550.599999999999
2020-03-27,9547.72
2020-03-30,9615.039999999999
2020-03-31,9595.96
2020-04-01,9602.439999999999
2020-04-02,9656.439999999999
2020-04-03,9666.519999999999
2020-04-06,9748.16
2020-04-07,9608.2
2020-04-08,9668.279999999999
2020-04-09,9646.779999999999
2020-04-13,9915.349999999999
2020-04-14,10250.9
2020-04-15,10294.71
2020-04-16,10517.169999999998
2020-04-17,10499.109999999999
2020-04-20,10439.97
2020-04-21,10154.93
2020-04-22,10408.32
2020-04-23,10347.149999999998
2020-04-24,10480.289999999999
2020-04-27,10607.7
2020-04-28,10377.34
2020-04-29,10698.64
2020-04-30,10759.78
2020-05-01,10350.880000000001
2020-05-04,10595.98
2020-05-05,10684.220000000001
2020-05-06,10751.800000000001
2020-05-07,10829.09
2020-05-08,11009.000000000002
2020-05-11,11103.6
2020-05-12,10948.67
2020-05-13,10836.24
2020-05-14,10952.51
2020-05-15,11136.250000000002
2020-05-18,11289.570000000002
2020-05-19,11289.62
2020-05-20,11527.34
2020-05-21,11482.32
2020-05-22,11530.890000000001
2020-05-26,11442.6
2020-05-27,11355.390000000001
2020-05-28,11289.37
2020-05-29,11488.34
2020-06-01,11695.580000000002
2020-06-02,11677.5
2020-06-03,11642.530000000002
2020-06-04,11509.740000000002
2020-06-05,11602.84
2020-06-08,11806.529999999999
2020-06-09,11908.3
2020-06-10,12137.810000000001
2020-06-11,11527.220000000001
2020-06-12,11543.869999999999
2020-06-15,11804.86
2020-06-16,11861.45
2020-06-17,11905.39
2020-06-18,11911.740000000002
2020-06-19,11922.169999999998
2020-06-22,12009.369999999999
2020-06-23,12103.43
2020-06-24,11808.23
2020-06-25,11956.440000000002
2020-06-26,11610.93
2020-06-29,11728.6
2020-06-30,12010.98
2020-07-01,12194.03
2020-07-02,12419.17
2020-07-06,12999.710000000001
2020-07-07,13029.89
2020-07-08,13099.97
2020-07-09,13374.14
2020-07-10,13805.6
2020-07-13,13443.819999999998
2020-07-14,13599.760000000002
2020-07-15,13582.919999999998
2020-07-16,13455.39
2020-07-17,13446.529999999999
2020-07-20,14083.34
2020-07-21,13809.15
2020-07-22,13864.08
2020-07-23,13409.980000000001
2020-07-24,13184.599999999999
2020-07-27,13595.69
2020-07-28,13321.82
2020-07-29,13479.68
2020-07-30,13512.17
2020-07-31,13520.91
2020-08-03,13675.03
2020-08-04,13755.15
2020-08-05,13782.62
2020-08-06,13955.239999999998
2020-08-07,13823.02
2020-08-10,13713.559999999998
2020-08-11,13334.5
2020-08-12,13658.64
2020-08-13,13652.86
2020-08-14,13656.13
2020-08-17,13919.62
2020-08-18,14025.130000000001
2020-08-19,13919.78
2020-08-20,13996.960000000001
2020-08-21,14111.060000000001
2020-08-24,14197.16
2020-08-25,14323.02
2020-08-26,14625.08
2020-08-27,14561.800000000001
2020-08-28,14780.880000000001
2020-08-31,14837.539999999999
2020-09-01,15224.820000000002
2020-09-02,15578.92
2020-09-03,14811.179999999998
2020-09-04,14598.69
2020-09-08,14053.25
2020-09-09,14433.260000000002
2020-09-10,14150.83
2020-09-11,14045.079999999998
2020-09-14,14215.61
2020-09-15,14314.309999999998
2020-09-16,14134.43
2020-09-17,14089.71
2020-09-18,13973.57
2020-09-21,14022.409999999998
2020-09-22,14126.66
2020-09-23,13920.269999999999
2020-09-24,13985.34
2020-09-25,14129.699999999999
2020-09-28,14228.98
2020-09-29,14248.699999999999
2020-09-30,14355.409999999998
2020-10-01,14447.789999999999
2020-10-02,14219.89
2020-10-05,14419.099999999999
2020-10-06,14408.96
2020-10-07,14475.39
2020-10-08,14502.11
2020-10-09,14598.649999999998
2020-10-12,14946.189999999999
2020-10-13,14977.109999999999
2020-10-14,14817.499999999998
2020-10-15,14766.199999999999
2020-10-16,14684.07
2020-10-19,14444.829999999998
2020-10-20,14517.579999999998
2020-10-21,14444.71
2020-10-22,14412.47
2020-10-23,14499.82
2020-10-26,14221.679999999997
2020-10-27,14342.639999999998
2020-10-28,13973.27
2020-10-29,14000.84
2020-10-30,13857.05
2020-11-02,13867.3
2020-11-03,13873.469999999998
2020-11-04,13953.449999999999
2020-11-05,14103.449999999999
2020-11-06,14091.11
2020-11-09,14009.93
2020-11-10,13733.39
2020-11-11,13898.990000000002
2020-11-12,13835.490000000002
2020-11-13,13909.380000000001
2020-11-16,14048.05
2020-11-17,13932.84
2020-11-18,13818.39
2020-11-19,13874.599999999999
2020-11-20,13723.39
2020-11-23,13781.68
2020-11-24,14026.25
2020-11-25,14029.66
2020-11-27,14080.009999999998
2020-11-30,13972.009999999998
2020-12-01,14163.25
2020-12-02,14269.079999999998
2020-12-03,14178.939999999999
2020-12-04,14227.689999999999
2020-12-07,14254.529999999999
2020-12-08,14217.21
2020-12-09,14002.57
2020-12-10,13944.05
2020-12-11,13937.08
2020-12-14,13889.630000000001
2020-12-15,14002.949999999999
2020-12-16,14053.82
2020-12-17,14031.59
2020-12-18,13960.409999999998
2020-12-21,14052.589999999998
2020-12-22,14044.419999999998
2020-12-23,14076.810000000001
2020-12-24,14100.27
2020-12-28,14306.19
2020-12-29,14278.79
2020-12-30,14227.279999999999
2020-12-31,14254.479999999998
2021-01-04,14030.67
2021-01-05,14070.839999999998
2021-01-06,13948.0
2021-01-07,14206.300000000001
2021-01-08,14277.12
2021-01-11,14170.35
2021-01-12,14153.75
2021-01-13,14238.859999999999
2021-01-14,14121.880000000001
2021-01-15,14014.44
2021-01-19,14054.96
2021-01-20,14375.63
2021-01-21,14469.82
2021-01-22,14488.059999999998
2021-01-25,14560.619999999999
2021-01-26,14611.59
2021-01-27,14323.03
2021-01-28,14398.960000000001
2021-01-29,14140.48
2021-02-01,14450.820000000002
2021-02-02,14618.02
2021-02-03,14783.300000000001
2021-02-04,14915.44
2021-02-05,14962.74
2021-02-08,15000.26
2021-02-09,14964.24
2021-02-10,14948.050000000001
2021-02-11,14942.78
2021-02-12,15014.88
2021-02-16,15044.179999999998
2021-02-17,15052.81
2021-02-18,15010.0
2021-02-19,14937.920000000002
2021-02-22,14751.44
2021-02-23,14756.98
2021-02-24,14981.039999999999
2021-02-25,14600.249999999998
2021-02-26,14564.66
2021-03-01,14859.819999999998
2021-03-02,14779.779999999999
2021-03-03,14660.83
2021-03-04,14555.67
2021-03-05,14673.87
2021-03-08,14657.66
2021-03-09,14675.760000000002
2021-03-10,14761.73
2021-03-11,14824.850000000002
2021-03-12,14742.34
2021-03-15,14776.23
2021-03-16,14830.739999999998
2021-03-17,14886.71
2021-03-18,14769.810000000001
2021-03-19,14672.880000000001
2021-03-22,14651.779999999999
2021-03-23,14575.69
2021-03-24,14489.91
2021-03-25,14463.27
2021-03-26,14605.689999999999
2021-03-29,14634.289999999999
2021-03-30,14610.859999999999
2021-03-31,14682.26
2021-04-01,14935.34
2021-04-05,15236.600000000002
2021-04-06,15150.46
2021-04-07,15350.849999999999
2021-04-08,15435.970000000001
2021-04-09,15527.970000000001
2021-04-12,15616.95
2021-04-13,15684.100000000002
2021-04-14,15461.650000000001
2021-04-15,15766.18
2021-04-16,15752.619999999999
2021-04-19,15599.45
2021-04-20,15469.329999999998
2021-04-21,15526.56
2021-04-22,15326.18
2021-04-23,15568.08
2021-04-26,15640.23
2021-04-27,15605.45
2021-04-28,15663.8
2021-04-29,15917.38
2021-04-30,15736.639999999998
2021-05-03,15669.26
2021-05-04,15450.699999999999
2021-05-05,15426.810000000001
2021-05-06,15584.599999999999
2021-05-07,15671.8
2021-05-10,15327.53
2021-05-11,15113.309999999998
2021-05-12,15017.71
2021-05-13,15127.189999999999
2021-05-14,15279.77
2021-05-17,15280.169999999998
2021-05-18,15168.199999999999
2021-05-19,15170.55
2021-05-20,15232.810000000001
2021-05-21,15232.35
2021-05-24,15324.32
2021-05-25,15338.14
2021-05-26,15321.75
2021-05-27,15357.68
2021-05-28,15451.900000000001
2021-06-01,15451.800000000003
2021-06-02,15579.02
2021-06-03,15528.77
2021-06-04,15728.5
2021-06-07,15716.689999999999
2021-06-08,15649.990000000002
2021-06-09,15571.980000000003
2021-06-10,15616.380000000001
2021-06-11,15696.57
2021-06-14,15769.4
2021-06-15,15678.179999999998
2021-06-16,15544.490000000002
2021-06-17,15823.8
2021-06-18,15674.57
2021-06-21,15771.460000000001
2021-06-22,15963.86
2021-06-23,15991.850000000002
2021-06-24,16073.800000000001
2021-06-25,15985.67
2021-06-28,16320.970000000003
2021-06-29,16388.03
2021-06-30,16334.34
2021-07-01,16408.85
2021-07-02,16544.5
2021-07-06,16602.510000000002
2021-07-07,16614.32
2021-07-08,16409.32
2021-07-09,16549.170000000002
2021-07-12,16623.030000000002
2021-07-13,16667.579999999998
2021-07-14,16689.050000000003
2021-07-15,16530.309999999998
2021-07-16,16324.970000000001
2021-07-19,16167.66
2021-07-20,16321.43
2021-07-21,16506.260000000002
2021-07-22,16649.25
2021-07-23,16928.350000000002
2021-07-26,16930.420000000002
2021-07-27,16815.820000000003
2021-07-28,16825.73
2021-07-29,16762.55
2021-07-30,16686.84
2021-08-02,16610.66
2021-08-03,16632.11
2021-08-04,16718.25
2021-08-05,16892.66
2021-08-06,16839.79
2021-08-09,16806.24
2021-08-10,16781.1
2021-08-11,16774.149999999998
2021-08-12,16897.239999999998
2021-08-13,16984.92
2021-08-16,17055.43
2021-08-17,16873.41
2021-08-18,16647.09
2021-08-19,16835.870000000003
2021-08-20,17152.84
2021-08-23,17382.62
2021-08-24,17332.39
2021-08-25,17393.879999999997
2021-08-26,17260.18
