symbol,Trades,NetProfit,PctWins,ProfitFactor,AvgRetPct,MedianRetPct
AAPL,9,870.42,77.78,3.16,3.235,3.149
AMZN,13,3030.07,38.46,4.14,9.297,-2.402
AVGO,12,6238.33,50.0,5.25,13.331,2.039
GOOGL,11,864.53,63.64,1.89,3.346,1.517
JPM,14,2191.97,57.14,2.62,4.735,0.315
META,14,3616.26,50.0,3.4,11.588,-0.877
MSFT,14,2383.43,64.29,3.75,5.233,1.382
NVDA,12,6486.11,58.33,5.06,24.212,5.309
SPY,11,18.82,54.55,1.04,0.235,0.734
TSLA,8,3162.91,37.5,3.09,19.039,-3.442
V,14,392.12,28.57,1.33,-0.651,-2.35
WMT,14,523.95,57.14,1.7,1.112,0.446
