symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,ret_pct
AAPL,2015-04-22,2015-05-06,32.160000000000004,31.09,46,-49.68000000000018,-3.327114427860711
NVDA,2015-05-01,2015-05-08,0.59,0.51,2579,-232.1099999999999,-13.559322033898303
MSFT,2015-04-20,2015-06-05,43.190000000000005,46.13999999999999,34,99.95999999999961,6.83028478814538
NVDA,2015-06-01,2015-06-24,0.59,0.5,2495,-249.49999999999991,-15.254237288135586
MSFT,2015-07-20,2015-08-21,46.85,44.769999999999996,30,-62.70000000000016,-4.439701173959454
NVDA,2015-09-16,2016-01-04,0.6,0.78,2363,401.7100000000001,30.000000000000004
MSFT,2015-10-02,2016-01-04,45.02,53.66,31,267.5299999999998,19.19147045757439
MSFT,2016-03-11,2016-04-22,53.02,51.94,28,-30.520000000000152,-2.036967182195404
NVDA,2016-03-16,2016-05-04,0.85,0.85,1785,-17.85,0.0
MSFT,2016-05-31,2016-06-13,52.510000000000005,49.55,29,-86.13000000000024,-5.63702151971055
NVDA,2016-05-13,2016-06-24,1.0,1.1099999999999999,1504,150.39999999999984,10.999999999999988
AAPL,2016-07-14,2016-09-08,24.62,26.36,61,105.5299999999999,7.067424857839155
MSFT,2016-07-08,2016-09-09,52.080000000000005,56.82,29,137.16999999999987,9.10138248847925
AAPL,2016-10-10,2016-11-01,29.07,28.14,53,-49.819999999999986,-3.1991744066047434
MSFT,2016-10-10,2016-11-16,58.190000000000005,56.63999999999999,26,-40.560000000000294,-2.663687918886426
MSFT,2016-12-09,2017-01-12,61.6,62.01,26,10.399999999999912,0.6655844155844193
NVDA,2016-10-24,2017-02-23,1.76,2.6,883,732.89,47.72727272727273
NVDA,2017-03-30,2017-04-10,2.77,2.44,615,-209.10000000000005,-11.913357400722024
AAPL,2017-01-06,2017-06-09,29.52,37.41,55,433.3999999999998,26.72764227642275
MSFT,2017-01-25,2017-06-29,64.08999999999999,68.11,25,100.25000000000026,6.272429396161661
MSFT,2017-07-13,2017-08-11,71.72999999999999,71.33,23,-9.429999999999804,-0.5576467307960242
AAPL,2017-08-29,2017-09-20,40.650000000000006,39.459999999999994,41,-49.200000000000486,-2.92742927429277
NVDA,2017-09-14,2017-11-29,4.319999999999999,4.99,391,258.0600000000003,15.509259259259277
MSFT,2017-08-30,2017-12-04,74.11999999999999,82.22,22,177.9800000000002,10.928224500809502
AAPL,2017-10-17,2017-12-06,40.02,41.769999999999996,43,74.81999999999968,4.372813593203384
AAPL,2017-12-18,2018-01-29,43.900000000000006,42.29,40,-64.80000000000027,-3.66742596810935
MSFT,2018-03-09,2018-03-22,95.86,90.84,18,-90.53999999999994,-5.236803672021695
AAPL,2018-03-12,2018-03-22,45.18,42.489999999999995,38,-102.60000000000018,-5.953961930057561
NVDA,2018-03-12,2018-03-27,6.319999999999999,5.53,277,-221.59999999999977,-12.49999999999999
AAPL,2018-04-17,2018-04-23,44.39,41.099999999999994,38,-125.40000000000023,-7.4115791845010275
AAPL,2018-05-04,2018-06-19,44.760000000000005,46.3,37,56.60999999999971,3.4405719392314404
NVDA,2018-05-04,2018-06-25,6.0,6.15,277,38.78000000000009,2.5000000000000133
MSFT,2018-04-17,2018-06-28,95.16,97.28,17,35.870000000000076,2.2278268179907634
NVDA,2018-07-24,2018-08-20,6.38,6.010000000000001,266,-101.07999999999979,-5.799373040752343
NVDA,2018-08-23,2018-09-24,6.609999999999999,6.53,259,-23.30999999999979,-1.2102874432677657
MSFT,2018-07-12,2018-10-10,102.78,109.32000000000001,16,104.4800000000001,6.363105662580271
NVDA,2018-10-01,2018-10-10,7.1499999999999995,6.45,243,-172.52999999999983,-9.790209790209781
AAPL,2018-07-13,2018-10-11,47.910000000000004,53.61,35,199.14999999999986,11.897307451471505
NVDA,2019-02-15,2019-04-26,4.09,4.36,412,107.12000000000019,6.601466992665039
MSFT,2019-01-18,2019-06-03,107.47,123.02000000000001,15,233.10000000000016,14.469154182562583
AAPL,2019-06-26,2019-08-05,50.230000000000004,49.5,34,-25.160000000000135,-1.4533147521401668
MSFT,2019-09-05,2019-10-02,139.52,134.48999999999998,12,-60.48000000000035,-3.6052178899082743
NVDA,2019-09-05,2019-12-03,4.359999999999999,5.0,397,250.1100000000002,14.67889908256883
AAPL,2019-09-09,2020-02-24,53.74,74.25,32,655.9999999999999,38.16524004465946
MSFT,2019-10-28,2020-02-27,144.62,163.17999999999998,12,222.59999999999968,12.833632969160536
NVDA,2019-12-12,2020-03-09,5.56,5.98,331,135.71000000000026,7.553956834532394
MSFT,2020-08-03,2020-09-08,216.41,203.11999999999998,10,-133.0000000000002,-6.141121020285578
AAPL,2020-04-29,2020-09-11,72.08,110.87,26,1008.2800000000002,53.81520532741399
NVDA,2020-04-07,2020-10-28,6.949999999999999,13.02,275,1666.5,87.3381294964029
MSFT,2020-10-09,2020-10-28,214.01000000000002,204.79999999999998,10,-92.20000000000036,-4.303537217887032
AAPL,2020-10-12,2020-10-28,120.08,112.2,19,-149.9099999999999,-6.562291805463016
NVDA,2020-11-06,2020-12-10,14.37,12.85,157,-240.20999999999992,-10.577592205984686
AAPL,2020-12-01,2021-02-18,122.00999999999999,128.53,18,117.18000000000018,5.343824276698639
MSFT,2020-11-09,2021-02-25,225.23000000000002,228.70999999999998,10,34.69999999999961,1.5450872441504115
NVDA,2021-01-11,2021-03-03,13.67,13.200000000000001,163,-78.23999999999981,-3.4381858083394223
MSFT,2021-03-23,2021-05-04,240.08,246.85999999999999,9,60.92999999999975,2.824058647117611
NVDA,2021-04-01,2021-05-11,13.59,13.82,163,35.86000000000006,1.6924208977189048
MSFT,2021-06-08,2021-09-20,255.32000000000002,294.06,8,309.83999999999986,15.173116089613025
AAPL,2021-06-14,2021-09-20,128.48000000000002,143.84,17,260.94999999999976,11.955168119551661
NVDA,2021-05-24,2021-09-28,15.69,20.64,143,706.4200000000002,31.54875717017209
NVDA,2021-10-21,2021-12-06,22.56,28.76,108,668.5200000000003,27.482269503546107
AAPL,2021-11-17,2022-01-19,153.19,167.44,16,227.84,9.302173771133893
